iter	Passed	Remaining
402	8841	13097
403	8860	13070
404	8879	13045
405	8898	13019
406	8915	12989
407	8932	12961
408	8951	12935
409	8969	12906
410	8985	12877
411	9004	12850
412	9022	12823
413	9040	12796
414	9058	12769
415	9077	12743
416	9093	12713
417	9111	12686
418	9148	12685
419	9172	12667
420	9192	12641
421	9209	12614
422	9227	12586
423	9246	12560
424	9265	12535
425	9281	12505
426	9297	12476
427	9316	12450
428	9334	12424
429	9353	12399
430	9372	12373
431	9392	12349
432	9410	12322
433	9428	12295
434	9445	12268
435	9460	12238
436	9477	12210
437	9496	12185
438	9516	12161
439	9535	12135
440	9552	12108
441	9571	12083
442	9588	12056
443	9607	12031
444	9625	12005
445	9642	11977
446	9661	11952
447	9678	11924
448	9695	11898
449	9712	11870
450	9729	11843
451	9747	11818
452	9775	11803
453	9799	11785
454	9817	11759
455	9834	11732
456	9850	11703
457	9867	11677
458	9886	11652
459	9904	11626
460	9928	11608
461	10016	11664
462	10035	11639
463	10053	11614
464	10072	11588
465	10089	11562
466	10112	11542
467	10132	11517
468	10149	11491
469	10169	11467
470	10185	11439
471	10204	11414
472	10224	11391
473	10245	11369
474	10264	11345
475	10282	11319
476	10302	11295
477	10326	11277
478	10348	11256
479	10372	11236
480	10395	11216
481	10420	11199
482	10438	11173
483	10457	11149
484	10477	11126
485	10496	11101
486	10513	11074
487	10534	11052
488	10552	11027
489	10570	11001
490	10588	10976
491	10610	10955
492	10625	10927
493	10645	10903
494	10663	10879
495	10681	10853
496	10699	10828
497	10717	10803
498	10735	10778
499	10752	10752
500	10768	10725
501	10784	10698
502	10802	10674
503	10822	10650
504	10840	10625
505	10858	10600
506	10876	10576
507	10892	10549
508	10910	10524
509	10928	10500
510	10946	10474
511	10964	10450
512	10982	10426
513	11000	10401
514	11018	10376
515	11034	10350
516	11052	10325
517	11069	10300
518	11092	10280
519	11109	10254
520	11125	10228
521	11146	10206
522	11163	10181
523	11180	10156
524	11200	10133
525	11226	10116
526	11246	10094
527	11268	10073
528	11286	10049
529	11306	10026
530	11324	10002
531	11345	9980
532	11365	9958
533	11382	9933
534	11401	9909
535	11419	9885
536	11437	9861
537	11455	9837
538	11473	9813
539	11492	9790
540	11511	9766
541	11530	9743
542	11549	9720
543	11569	9698
544	11590	9676
545	11608	9652
546	11625	9627
547	11642	9602
548	11661	9579
549	11678	9555
550	11697	9531
551	11717	9510
552	11735	9486
553	11755	9463
554	11773	9440
555	11791	9415
556	11809	9392
557	11827	9368
558	11844	9344
559	11865	9322
560	11885	9300
561	11902	9276
562	11920	9252
563	11936	9227
564	11954	9203
565	11971	9179
566	11986	9153
567	12002	9128
568	12018	9103
569	12037	9080
570	12055	9057
571	12073	9033
572	12088	9008
573	12107	8985
574	12124	8961
575	12143	8938
576	12161	8915
577	12179	8892
578	12197	8869
579	12215	8845
580	12232	8821
581	12249	8797
582	12267	8774
583	12284	8750
584	12299	8725
585	12315	8700
586	12334	8678
587	12352	8654
588	12374	8634
589	12392	8611
590	12411	8589
591	12430	8566
592	12447	8543
593	12464	8519
594	12482	8496
595	12500	8473
596	12518	8450
597	12536	8427
598	12554	8404
599	12572	8381
600	12590	8358
601	12607	8335
602	12624	8311
603	12643	8289
604	12660	8266
605	12678	8242
606	12697	8220
607	12715	8197
608	12733	8175
609	12750	8152
610	12768	8128
611	12786	8106
612	12803	8082
613	12818	8058
614	12837	8036
615	12853	8012
616	12871	7989
617	12890	7967
618	12908	7945
619	12927	7923
620	12944	7900
621	12962	7877
622	12978	7854
623	12995	7830
624	13013	7808
625	13033	7787
626	13050	7763
627	13067	7740
628	13084	7717
629	13103	7695
630	13121	7673
631	13134	7647
632	13150	7624
633	13168	7602
634	13184	7578
635	13202	7555
636	13218	7532
